Time,Mixing depth (m)
2025-11-01 00:00:00,5.800000000000001
2025-11-02 00:00:00,7.4
2025-11-03 00:00:00,11.600000000000001
2025-11-04 00:00:00,11
2025-11-05 00:00:00,10.200000000000001
2025-11-06 00:00:00,12
2025-11-07 00:00:00,13.4
2025-11-08 00:00:00,9
2025-11-09 00:00:00,8.8
2025-11-10 00:00:00,13.200000000000001
2025-11-11 00:00:00,13.8
2025-11-12 00:00:00,13.200000000000001
2025-11-13 00:00:00,13.8
2025-11-14 00:00:00,15
2025-11-15 00:00:00,6.6000000000000005
2025-11-16 00:00:00,11
2025-11-17 00:00:00,13.8
2025-11-18 00:00:00,16
2025-11-19 00:00:00,17.200000000000003
2025-11-20 00:00:00,17.6
2025-11-21 00:00:00,17.8
2025-11-22 00:00:00,17.4
2025-11-23 00:00:00,15.200000000000001
2025-11-24 00:00:00,19.2
2025-11-25 00:00:00,18.2
2025-11-26 00:00:00,18.6
2025-11-27 00:00:00,21
2025-11-28 00:00:00,19.400000000000002
2025-11-29 00:00:00,13
2025-11-30 00:00:00,11.8
2025-12-01 00:00:00,18.400000000000002
2025-12-02 00:00:00,21.200000000000003
2025-12-03 00:00:00,20.400000000000002
2025-12-04 00:00:00,11.600000000000001
2025-12-05 00:00:00,19.8
2025-12-06 00:00:00,21.6
2025-12-07 00:00:00,16.8
2025-12-08 00:00:00,19.6
2025-12-09 00:00:00,5.6
2025-12-10 00:00:00,19.400000000000002
2025-12-11 00:00:00,16.4
2025-12-12 00:00:00,21.6
2025-12-13 00:00:00,20
2025-12-14 00:00:00,19.8
2025-12-15 00:00:00,19.2
2025-12-16 00:00:00,21
2025-12-17 00:00:00,18.8
2025-12-18 00:00:00,24.200000000000003
2025-12-19 00:00:00,23.6
2025-12-20 00:00:00,26.200000000000003
2025-12-21 00:00:00,21.400000000000002
2025-12-22 00:00:00,23.200000000000003
2025-12-23 00:00:00,23
2025-12-24 00:00:00,24.400000000000002
2025-12-25 00:00:00,27.6
2025-12-26 00:00:00,31
2025-12-27 00:00:00,31.5
2025-12-28 00:00:00,33.5
2025-12-29 00:00:00,33.5
2025-12-30 00:00:00,36
2025-12-31 00:00:00,38.5
2026-01-01 00:00:00,41.5
2026-01-02 00:00:00,46
2026-01-03 00:00:00,50
2026-01-06 00:00:00,72
2026-01-07 00:00:00,70
2026-01-08 00:00:00,76
2026-01-09 00:00:00,74
2026-01-10 00:00:00,79
2026-01-11 00:00:00,79
2026-01-12 00:00:00,79
2026-01-13 00:00:00,79
2026-01-14 00:00:00,79
2026-01-15 00:00:00,79
2026-01-16 00:00:00,79
2026-01-17 00:00:00,79
2026-01-18 00:00:00,79
2026-01-19 00:00:00,79
2026-01-20 00:00:00,79
2026-01-21 00:00:00,79
2026-01-22 00:00:00,79
2026-01-23 00:00:00,79
2026-01-24 00:00:00,79
2026-01-25 00:00:00,79
2026-01-26 00:00:00,79
2026-01-27 00:00:00,79
2026-01-28 00:00:00,79
2026-01-29 00:00:00,79
2026-01-30 00:00:00,79
2026-01-31 00:00:00,79
2026-02-01 00:00:00,79
2026-02-02 00:00:00,79
2026-02-03 00:00:00,79
2026-02-04 00:00:00,79
2026-02-05 00:00:00,79
2026-02-06 00:00:00,79
2026-02-07 00:00:00,79
2026-02-08 00:00:00,62.5
2026-02-09 00:00:00,79
2026-02-10 00:00:00,79
2026-02-11 00:00:00,79
2026-02-12 00:00:00,79
2026-02-13 00:00:00,79
2026-02-14 00:00:00,79
2026-02-15 00:00:00,79
2026-02-16 00:00:00,79
2026-02-17 00:00:00,79
2026-02-18 00:00:00,79
2026-02-19 00:00:00,79
2026-02-20 00:00:00,79
2026-02-21 00:00:00,79
2026-02-22 00:00:00,79
2026-02-23 00:00:00,28.200000000000003
2026-02-24 00:00:00,53
2026-02-25 00:00:00,21.8
2026-02-26 00:00:00,3.4000000000000004
2026-02-27 00:00:00,2.8
2026-02-28 00:00:00,4
