Time,Surface temperature (°C)
2025-11-01 00:00:00,11.39592156636871
2025-11-02 00:00:00,11.409858823529412
2025-11-03 00:00:00,11.316
2025-11-04 00:00:00,11.258651960784313
2025-11-05 00:00:00,11.07178431372549
2025-11-06 00:00:00,10.960968627450981
2025-11-07 00:00:00,10.826691174776533
2025-11-08 00:00:00,10.748
2025-11-09 00:00:00,10.742615687028065
2025-11-10 00:00:00,10.641
2025-11-11 00:00:00,10.57458431372549
2025-11-12 00:00:00,10.492
2025-11-13 00:00:00,10.42013725490196
2025-11-14 00:00:00,10.396291317226892
2025-11-15 00:00:00,10.305
2025-11-16 00:00:00,10.023307189542484
2025-11-17 00:00:00,9.96856862745098
2025-11-18 00:00:00,9.697441176470589
2025-11-19 00:00:00,9.44256862745098
2025-11-20 00:00:00,9.22521568627451
2025-11-21 00:00:00,8.931460784313726
2025-11-22 00:00:00,8.607519607843138
2025-11-23 00:00:00,8.330960784313724
2025-11-24 00:00:00,8.186519607843136
2025-11-25 00:00:00,8.12098431372549
2025-11-26 00:00:00,7.934
2025-11-27 00:00:00,7.785882352941176
2025-11-28 00:00:00,7.641
2025-11-29 00:00:00,7.587184313364091
2025-11-30 00:00:00,7.527269607843137
2025-12-01 00:00:00,7.429730392156863
2025-12-02 00:00:00,7.356368626728183
2025-12-03 00:00:00,7.254
2025-12-04 00:00:00,7.213384312971936
2025-12-05 00:00:00,7.162
2025-12-06 00:00:00,7.08043137254902
2025-12-07 00:00:00,7.035480392156862
2025-12-08 00:00:00,7.046
2025-12-09 00:00:00,7.1131843133640915
2025-12-10 00:00:00,7.013
2025-12-11 00:00:00,6.9871686274509806
2025-12-12 00:00:00,6.95
2025-12-13 00:00:00,6.913
2025-12-14 00:00:00,6.865
2025-12-15 00:00:00,6.811615687028064
2025-12-16 00:00:00,6.72121568627451
2025-12-17 00:00:00,6.659960784313726
2025-12-18 00:00:00,6.610537251887742
2025-12-19 00:00:00,6.554
2025-12-20 00:00:00,6.496
2025-12-21 00:00:00,6.473
2025-12-22 00:00:00,6.328
2025-12-23 00:00:00,6.292
2025-12-24 00:00:00,6.16758431372549
2025-12-25 00:00:00,5.977769608407822
2025-12-26 00:00:00,5.91001568627451
2025-12-27 00:00:00,5.84402614379085
2025-12-28 00:00:00,5.763247058823529
2025-12-29 00:00:00,5.693
2025-12-30 00:00:00,5.58958431372549
2025-12-31 00:00:00,5.565
2026-01-01 00:00:00,5.458615687028065
2026-01-02 00:00:00,5.3900901960784315
2026-01-03 00:00:00,5.278
2026-01-06 00:00:00,5.06896862745098
2026-01-07 00:00:00,5.05
2026-01-08 00:00:00,4.993980392156862
2026-01-09 00:00:00,4.988903921615725
2026-01-10 00:00:00,4.956
2026-01-11 00:00:00,4.891
2026-01-12 00:00:00,4.9200156862745095
2026-01-13 00:00:00,4.8747696084078225
2026-01-14 00:00:00,5.013615687028064
2026-01-15 00:00:00,4.917
2026-01-16 00:00:00,4.821815686635909
2026-01-17 00:00:00,4.799
2026-01-18 00:00:00,4.739
2026-01-19 00:00:00,4.734870098039216
2026-01-20 00:00:00,4.725
2026-01-21 00:00:00,4.77458431372549
2026-01-22 00:00:00,4.694730392156863
2026-01-23 00:00:00,4.715
2026-01-24 00:00:00,4.680019607843137
2026-01-25 00:00:00,4.667368626728183
2026-01-26 00:00:00,4.632
2026-01-27 00:00:00,4.643
2026-01-28 00:00:00,4.589384312971935
2026-01-29 00:00:00,4.622
2026-01-30 00:00:00,4.60541568627451
2026-01-31 00:00:00,4.59321568627451
2026-02-01 00:00:00,4.653509803921569
2026-02-02 00:00:00,4.688277124183006
2026-02-03 00:00:00,4.596921568627452
2026-02-04 00:00:00,4.55478431372549
2026-02-05 00:00:00,4.763
2026-02-06 00:00:00,4.66621568627451
2026-02-07 00:00:00,4.664
2026-02-08 00:00:00,4.695
2026-02-09 00:00:00,4.7258470610841945
2026-02-10 00:00:00,4.595
2026-02-11 00:00:00,4.5710130718954245
2026-02-12 00:00:00,4.567
2026-02-13 00:00:00,4.76256862745098
2026-02-14 00:00:00,4.829
2026-02-15 00:00:00,4.594
2026-02-16 00:00:00,4.527
2026-02-17 00:00:00,4.5
2026-02-18 00:00:00,4.498384312971935
2026-02-19 00:00:00,4.569980392156863
2026-02-20 00:00:00,4.49378431372549
2026-02-21 00:00:00,4.49
2026-02-22 00:00:00,4.86456862745098
2026-02-23 00:00:00,4.794184313364091
2026-02-24 00:00:00,5.0907647058823535
2026-02-25 00:00:00,4.95678431372549
2026-02-26 00:00:00,5.570764705882353
2026-02-27 00:00:00,5.726843133640914
2026-02-28 00:00:00,6.15403431372549
